LB's Notes,SITEYRID,SurveyYrID,Year,Site Name,County,Elevation,"Water Body (creek, river canyon or lake name)",SurveyType,UTMZone,Datum,Start_X,Start_Y,Start_Lat,Start_Long,Stop_X,Stop_Y,Stop_Lat,Stop_Long,Declination,Surveyed PreviousYear,PreviousYearName,Affiliation,Permit#,SurveyLength,NumSurveys,TotalHours,Detections,PO,PR,CO,NumNests,Notes
,36,36,2022,Camp Verde Riparian Preserve (CVRP),Yavapai,940,Verde River,,12S,NAD83,420086,3826590,,,419525,3827434,,,NR,yes,Camp Verde Riparian Preserve (CVRP),Salt River Project,TE060125-1,1.4,4,5.4,16,0,2,0,0,
,37,37,2022,Conroy Property ,Yavapai,920,Verde River,,12S,NAD83,423108,3819936,,,423244,3820263,,,NR,no,NA,Salt River Project,TE060125-1,0.5,4,1.95,3,0,0,0,0,
,38,38,2022,Horseshoe Ford North,Yavapai,1022,Agua Fria River,,12S,NAD83,402322,3793030,,,403074,3794025,,,10,yes,"Horseshoe Ford, Horseshoe Ford North ",Sonoran Audubon,ESPER0020702,1.6,4,9.38,9,0,2,0,0,
,39,39,2022,Horseshoe Ford South,Yavapai,1040,Agau Fria River,,12S,NAD83,402234,3791236,,,402182,3789505,,,10,yes,"Horseshoe Ford, Horseshoe Ford South",Sonoran Audubon,ESPER0020702,2.2,5,31.47,33,0,3,1,0,
Recording detections,40,40,2022,Lyle Canyon ,Santa Cruz,1494,O'Donnell Creek,,12R,NAD83,548417,3491818,,,547785,3490720,,,9,yes ,Research Ranch Lyle,Audubon Southwest,ESPER0020702,1.7,5,14.09,9,1,0,0,0,
,41,41,2022,New River Preserve,Maricopa,613,Agua Fria River,,12S,NAD83,395096,3757694,,,395105,3757004,,,10,yes ,New River Reserve,"Sonoran Audubon, Friends of the Agua Fria Nat'l Monument ",ESPER0020702,0.728,5,8.81,0,0,0,0,0,
,42,42,2022,Silver Creek,Yavapai,1053,Agua Fria River,,12S,NAD83,403884,3790836,,,405526,3790837,,,10,yes ,Silver Creek,"Sonoran Audubon, Friends of the Agua Fria Nat'l Monument ",ESPER0020702,1.8,5,15.04,0,0,0,0,0,
,43,43,2022,Upper Agua Fria ,Yavapai,1040,Agua Fria River,,12S,NAD83,401336,3798772,,,402092,3797590,,,10,yes ,Upper Agua Fria,"Sonoran Audubon, Friends of the Agua Fria Nat'l Monument ",ESPER0020702,2.3,1,2.77,3,0,0,0,0,
,44,44,2022,Willow Lake North ,Yavapai,1575,Willow Lake (Willow Creek),,12S,NAD83,367072,3830305,,,367551,3830180,,,NR,no,NA,Prescott Audubon Society ,ESPER0020702,0.5,5,7.85,5,1,0,0,0,
,45,45,2022,Willow Lake South ,Yavapai,1575,Willow Lake (Willow Creek),,12S,NAD83,367900,3829879,,,366804,3829715,,,NR,no,NA,Prescott Audubon Society ,ESPER0020702,1.1,4,12.53,0,0,0,0,0,
,46,46,2022,Lower Granite Creek,Yavapai,1305,Verde River,,12S,NAD83,369103,3858712,,,369624,3857414,,,10,yes ,Lower Granite Creek,Prescott Audubon Society ,ESPER0020702,2.7,5,22.79,17,1,2,0,0,
