SITEYRID,SurveyVisitID,SurveyPeriod,SurveyDate,StartTime,StopTime,TotalHours,YBCUNum,TimeDetected,DetectionMethod,DetectionType,VocalType,NumCallsResponse,BehObs,Detection_X,Detection_Y,Detection_Lat,Detection_Long,Distance,Bearing,Corrected_X,Corrected_Y,Comments
102,635,3,7/20/2022,5:28,8:55,3.46,6,8:02 AM,I,A,CN,0,NV,731815,3732148,,,75,216,731771,3732087,
102,636,4,8/3/2022,5:41,8:58,3.28,1,6:06 AM,P,A,OT,2,"NV, VEX",731554,3732296,,,100,307,731474,3732356,
102,637,4,8/3/2022,5:41,8:58,3.28,2,6:08 AM,P,A,CN,2,"NV, VEX",731554,3732296,,,75,284,731481,3732314,
102,638,4,8/3/2022,5:41,8:58,3.28,3,6:41 AM,P,A,CN,3,NV,731322,3732013,,,50,315,731587,3732048,
102,639,4,8/3/2022,5:41,8:58,3.28,4,7:32 AM,I,A,CO,0,NV,731520,3732005,,,100,278,731421,3732019,
103,640,1,6/21/2022,5:31,9:07,3.59,1,7:05 AM,P,B,"CN, CO",3,"FLC, ST",731096,3733349,,,20,305,731080,3733360,
103,641,1,6/21/2022,5:31,9:07,3.59,2,7:59 AM,P,B,"CN, AL",3,FLY,731347,3733527,,,50,58,731389,3733553,
103,642,2,7/5/2022,5:06,8:51,3.75,1,7:34 AM,P,A,CN,1,NV,731348,3733438,,,100,52,731427,3733500,
103,643,2,7/5/2022,5:06,8:51,3.75,2,8:02 AM,P,B,CN,4,"FLY, ST",731155,3733233,,,40,212,731134,3733199,
103,644,3,7/19/2022,5:22,9:04,3.7,1,7:38 AM,I,A,CN,0,NV,730960,3733228,,,175,94,731135,3733216,
103,645,3,7/19/2022,5:22,9:04,3.7,2,8:11 AM,I,A,CN,0,NV,731147,3733419,,,150,130,731262,3733323,
103,646,3,7/19/2022,5:22,9:04,3.7,3,8:59 AM,I,B,CN,0,"FLY, VEX",731589,3733484,,,50,109,731636,3733468,
103,647,3,7/19/2022,5:22,9:04,3.7,4,9:00 AM,I,A,CN,0,"NV, VEX",731589,3733484,,,50,345,731576,3733532,
103,648,4,8/2/2022,5:44,8:28,2.72,1,6:15 AM,P,A,CO,3,"NV, VEX",731361,3733405,,,100,270,731261,3733405,
103,649,4,8/2/2022,5:44,8:28,2.72,2,6:16 AM,A,A,CO,3,"NV, VEX",731348,3733413,,,60,80,731407,3733423,
104,650,1,6/21/2022,5:31,7:58,2.45,1,6:22 AM,P,A,CN,1,NV,731695,3733040,,,150,302,731568,3733119,
104,651,1,6/21/2022,5:31,7:58,2.45,2,7:29 AM,P,A,"CN, CO",2,NV,731124,3732820,,,175,102,731295,3732784,
104,652,2,7/5/2022,5:16,7:24,2.14,1,5:23 AM,I,A,CN,0,"NV, RO",731938,3732862,,,200,240,731765,3732762,
104,653,2,7/5/2022,5:16,7:24,2.14,2,6:18 AM,P,A,CN,2,NV,731680,3733094,,,75,260,731483,3733059,
104,654,2,7/5/2022,5:16,7:24,2.14,3,7:16 AM,P,A,CN,1,NV,731039,3733105,,,75,186,731031,3733030,
104,655,3,7/19/2022,5:07,8:12,3.08,,,,,,,,,,,,,,,,
104,656,4,8/2/2022,5:40,8:10,2.5,,,,,,,,,,,,,,,,
105,657,1,6/22/2022,5:15,7:30,2.26,,,,,,,,,,,,,,,,
105,658,2,7/6/2022,5:11,6:34,1.37,1,5:58 AM,P,A,CN,5,NV,730866,3734455,,,150,144,730954,3734334,
105,659,3,7/20/2022,5:18,6:39,1.35,1,5:47 AM,P,A,CN,1,NV,731006,3734556,,,140,205,730947,3734429,
105,660,4,8/3/2022,5:29,7:25,1.93,1,7:23 AM,P,A,CN,3,NV,731208,3734505,,,170,242,731058,3734425,
106,661,1,6/24/2022,5:02,8:17,3.25,,,,,,,,,,,,,,,,
106,662,2,7/8/2022,5:15,7:42,2.45,1,6:21 AM,P,B,OT,5,FLY,731037,3731228,,,65,277,730972,3731236,
106,663,2,7/8/2022,5:15,7:42,2.45,2,6:22 AM,P,A,OT,5,NV,731038,3731230,,,75,225,730985,3731177,
106,664,2,7/8/2022,5:15,7:42,2.45,3,6:45 AM,P,A,OT,2,NV,730928,3731570,,,105,90,731033,3731570,
106,665,2,7/8/2022,5:15,7:42,2.45,4,7:41 AM,P,A,"OT, CO",1,NV,730623,3732336,,,85,170,730638,3731252,
106,666,3,7/22/2022,5:28,8:07,2.64,1,7:22 AM,P,A,CO,0,NV,730821,3730691,,,165,291,730667,3730750,
106,667,4,8/5/2022,6:02,7:28,1.43,1,6:30 AM,P,A,CN,2,NV,731037,3731329,,,95,107,731128,3731301,
106,668,4,8/5/2022,6:02,7:28,1.43,2,6:40 AM,P,A,CO,3,NV,731016,3731578,,,265,10,731062,3731839,
107,669,1,6/24/2022,7:32,8:07,0.58,1,7:41 AM,P,A,CN,3,NV,729401,3730692,,,100,225,729330,3730621,
107,670,2,7/8/2022,6:43,7:14,0.51,1,6:49 AM,P,V,NR,1,FLY,729426,3730687,,,35,148,729445,3730657,
107,671,3,7/22/2022,7:10,7:51,0.68,,,,,,,,,,,,,,,,
107,672,4,8/5/2022,7:15,7:55,0.67,,,,,,,,,,,,,,,,
108,673,1,6/16/2022,5:19,8:57,3.63,1,6:30 AM,P,B,OT,2,"FLY, ST",728435,3730108,,,6,62,728440,3730111,
108,674,2,6/30/2022,5:29,7:41,2.21,1,6:36 AM,P,A,"CN, OT",3,NV,728429,3730436,,,60,150,728459,3730384,
108,675,2,6/30/2022,5:29,7:41,2.21,2,7:23 AM,P,B,OT,2,"PA, ST, FLY",728812,3730420,,,15,142,728821,3730408,
108,676,2,6/30/2022,5:29,7:41,2.21,3,7:23 AM,P,V,NR,2,"PA, ST, FLY",728812,3730421,,,15,142,728821,3730409,
108,677,3,7/14/2022,5:26,7:57,2.53,1,5:41 AM,P,A,CN,5,NV,728822,3730349,,,30,147,728838,3730324,
108,678,4,7/28/2022,5:45,8:14,2.5,1,7:42 AM,I,V,NR,0,"PA, ST, FLY",728822,3730422,,,15,170,728825,3730407,
108,679,4,7/28/2022,5:45,8:14,2.5,2,7:44 AM,I,B,"CN, OT",0,FLY,728826,3731422,,,15,198,728821,3730408,
109,680,1,6/16/2022,5:17,8:00,2.72,1,6:44 AM,P,A,CN,3,NV,728766,3729729,,,125,30,728829,3729837,
109,681,2,6/30/2022,5:17,7:18,2.02,1,5:29 AM,P,A,CN,1,"NV, VEX",728503,3730056,,,100,272,728403,3730059,
109,682,2,6/30/2022,5:17,7:18,2.02,2,5:35 AM,P,A,CN,1,"NV, VEX",728505,3730057,,,60,218,728468,3730010,
109,683,2,6/30/2022,5:17,7:18,2.02,3,6:45 AM,P,A,CO,5,"NV, FLC",728753,3730067,,,150,98,728902,3730046,
109,684,2,6/30/2022,5:17,7:18,2.02,4,7:17 AM,P,A,CO,3,NV,728925,3729664,,,275,157,729032,3729411,
109,685,3,7/14/2022,5:25,7:34,2.14,1,5:59 AM,P,A,CN,4,NV,728758,3729857,,,100,336,728717,3729948,
109,686,3,7/14/2022,5:25,7:34,2.14,2,6:31 AM,I,A,"CN, CO",0,"NV, VEX",728498,3729764,,,100,327,728444,3729848,
109,687,3,7/14/2022,5:25,7:34,2.14,3,6:34 AM,I,B,"AL, CN",0,"EF, FLY",728504,3729803,,,10,250,728495,3729800,
109,688,4,7/28/2022,5:16,7:42,2.43,1,6:34 AM,P,A,CN,2,NV,728767,3729738,,,150,298,728635,3729808,
109,689,4,7/28/2022,5:16,7:42,2.43,2,7:24 AM,P,A,CN,5,NV,728504,3730063,,,100,176,728511,3729963,
110,690,1,6/27/2022,6:49,9:14,2.5,,,,,,,,,,,,,,,,
110,691,2,7/25/2022,5:42,7:53,2,,,,,,,,,,,,,,,,
110,692,3,8/14/2022,6:06,7:52,2,1,6:06 AM,P,A,AL,2,NR,416128,3845992,,,22,160,416136,3845971,
111,693,1,6/26/2022,6:22,7:17,1,1,6:34 AM,P,A,AL,2,NR,425099,3817171,,,40,310,NR,NR,
111,694,1,6/26/2022,6:22,7:17,1,2,6:34 AM,I,A,AL,0,NR,425099,3817171,,,40,310,NR,NR,
111,695,1,6/26/2022,6:22,7:17,1,3,6:58 AM,P,A,AL,2,NR,425050,3816854,,,55,340,425031,3816906,
111,696,1,6/26/2022,6:22,7:17,1,4,7:17 AM,I,A,AL,0,NR,425142,3817243,,,35,315,425117,3817268,
111,697,2,7/24/2022,5:41,6:42,1,1,5:41 AM,P,A,AL,2,NR,425144,3817252,,,40,212,NR,NR,
111,698,3,8/15/2022,5:38,6:29,1,1,6:29 AM,P,A,AL,1,NR,425059,3816960,,,28,202,425049,3816934,
112,699,1,6/26/2022,9:15,11:11,2,1,10:04 AM,P,V,NR,NR,NR,425331,3819757,,,12,344,NR,NR,
112,700,2,7/24/2022,7:43,9:30,1.75,,,,,,,,,,,,,,,,
112,701,3,8/15/2022,9:30,11:00,1.75,1,10:30 AM,I,B,AL,NR,NR,425105,3819686,,,22,12,425110,3819708,
112,702,3,8/15/2022,9:30,11:00,1.75,2,11:00 AM,P,A,AL,2,NR,425382,3819780,,,25,40,425398,3819799,
113,703,1,6/23/2023,5:51,7:36,2,1,7:10 AM,P,A,CN,2,NR,471873,3766812,,,40,232,471837,3766794,
113,704,1,6/23/2023,5:51,7:36,2,2,7:42 AM,P,A,"CN, VEX",5,NR,471266,3767368,,,90,347,471263,3767458,
113,705,1,6/23/2023,5:51,7:36,2,3,7:43 AM,P,A,"CN, VEX",5,NR,471266,3767368,,,135,312,471185,3767476,
113,706,2,7/7/2023,5:45,8:54,3,1,6:51 AM,P,B,"CN, AL",3,"FLY, VEX",472479,3766389,,,21,341,472476,3766410,
113,707,2,7/7/2023,5:45,8:54,3,2,6:51 AM,P,B,CN,3,"FLY, VEX",472479,3766389,,,35,48,472509,3766407,
113,708,2,7/7/2023,5:45,8:54,3,3,8:15 AM,P,A,CN,5,NR,471734,3766959,,,160,298,471610,3767060,
113,709,3,7/25/2023,5:44,8:14,2,1,6:26 AM,P,B,CO,5,NR,472673,3766180,,,50,339,472664,3766229,
113,710,3,7/25/2023,5:44,8:14,2,2,7:28 AM,P,A,"CN, AL",1,NR,471932,3766739,,,50,82,471982,3766736,
113,711,3,7/25/2023,5:44,8:14,2,3,7:40 AM,P,A,CN,1,NR,471727,3766964,,,80,57,471801,3766994,
113,712,4,8/4/2023,5:44,7:49,2,1,6:29 AM,I,A,CN,0,NR,472569,3766293,,,20,242,472550,3766287,
113,713,4,8/4/2023,5:44,7:49,2,2,6:41 AM,P,A,COO,1,NR,472320,3476293,,,25,117,472340,3476278,
113,714,4,8/4/2023,5:44,7:49,2,3,6:59 AM,I,A,"CN, COO",0,NR,472031,3766517,,,70,39,472085,3766562,
113,715,4,8/4/2023,5:44,7:49,2,4,7:11 AM,P,A,"COO, CN",1,VEX,471816,3766642,,,60,206,471780,3766594,
113,716,4,8/4/2023,5:44,7:49,2,5,7:12 AM,P,B,CN,1,"VEX, FLY",471816,3766871,,,80,60,471892,3766897,
113,717,4,8/4/2023,5:44,7:49,2,6,8:04 AM,I,A,COO,0,VEX,471702,3767236,,,85,39,471767,3767291,
113,718,4,8/4/2023,5:44,7:49,2,7,8:07 AM,I,A,COO,0,VEX,471402,3767236,,,180,2,471442,3767411,
113,719,4,8/4/2023,5:44,7:49,2,8,8:38 AM,I,A,CN,0,NR,472733,3766178,,,55,100,472784,3766158,
114,720,1,6/21/2023,6:18,9:48,3.5,1,8:37 AM,P,B,CN,5,FLY,476501,3738683,,,30,61,476530,3738692,
114,721,1,6/21/2023,6:18,9:48,3.5,2,8:50 AM,I,A,"CO, CN",0,VEX,476446,3738683,,,100,80,476546,3738681,
114,722,1,6/21/2023,6:18,9:48,3.5,3,8:53 AM,I,A,"CO, CN",0,VEX,476446,3738683,,,190,172,476436,3738493,
